Year,Gini_Coefficient
2010,0.6032002326472107
2011,0.607514963252514
2012,0.6038885501533015
2013,0.6069637321381018
2014,0.5918810465720419
2015,0.6269212617342977
2016,0.6167704348519446
2017,0.6297210821021813
2018,0.6555467935470426
2019,0.657361589015606
2020,0.7048627354307879
2021,0.7115941061532812
2022,0.6602687517214836
2023,0.7190590954262094
2024,0.7600653760537407
